icon,datetime,temp,windspeed,preciptype,description
rain,2018-09-01,26.1,23.7,rain,Partly cloudy throughout the day with a chance of rain throughout the day.
rain,2018-09-02,26.9,11.1,rain,Partly cloudy throughout the day with early morning rain.
partly-cloudy-day,2018-09-03,29.1,19.5,--,Partly cloudy throughout the day.
rain,2018-09-04,29.1,26.3,rain,Becoming cloudy in the afternoon with afternoon rain.
partly-cloudy-day,2018-09-05,29.2,15.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-09-06,29.5,19.8,--,Partly cloudy throughout the day.
rain,2018-09-07,26.7,20.3,rain,Partly cloudy throughout the day with rain.
rain,2018-09-08,21.7,31.7,rain,Cloudy skies throughout the day with rain.
rain,2018-09-09,18,33.7,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2018-09-10,20.9,21.8,rain,Cloudy skies throughout the day with rain.
rain,2018-09-11,22.9,15.8,rain,Cloudy skies throughout the day with morning rain.
rain,2018-09-12,24.6,13.8,rain,Partly cloudy throughout the day with rain.
rain,2018-09-13,24.6,22.3,rain,Cloudy skies throughout the day with afternoon rain.
cloudy,2018-09-14,23.5,29.9,--,Cloudy skies throughout the day.
cloudy,2018-09-15,24,21.9,--,Cloudy skies throughout the day.
rain,2018-09-16,23.6,23.1,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2018-09-17,24.6,20.3,rain,Cloudy skies throughout the day with rain.
rain,2018-09-18,25.6,26.8,rain,Partly cloudy throughout the day with a chance of rain throughout the day.
partly-cloudy-day,2018-09-19,25.9,23.5,--,Partly cloudy throughout the day.
rain,2018-09-20,24,19.8,rain,Partly cloudy throughout the day with afternoon rain.
rain,2018-09-21,22.7,19.9,rain,Partly cloudy throughout the day with morning rain.
rain,2018-09-22,23.1,24.6,rain,Partly cloudy throughout the day with rain clearing later.
rain,2018-09-23,17.4,19.4,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2018-09-24,18.5,23.4,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2018-09-25,23,17.6,rain,Cloudy skies throughout the day with rain clearing later.
rain,2018-09-26,25,32.3,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2018-09-27,18.4,19.6,rain,Cloudy skies throughout the day with rain.
rain,2018-09-28,18.8,18,rain,Partly cloudy throughout the day with rain clearing later.
partly-cloudy-day,2018-09-29,21.1,21.7,--,Clearing in the afternoon.
partly-cloudy-day,2018-09-30,19.9,14.4,--,Clearing in the afternoon.
partly-cloudy-day,2018-10-01,21.8,17.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-10-02,23.3,21.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-10-03,24.5,18.7,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2018-10-04,24.3,29.4,--,Partly cloudy throughout the day.
cloudy,2018-10-05,21.2,24.2,--,Cloudy skies throughout the day.
rain,2018-10-06,21.5,13.8,rain,Cloudy skies throughout the day with early morning rain.
partly-cloudy-day,2018-10-07,23.9,15.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-10-08,24.6,18.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-10-09,24.6,12.5,--,Partly cloudy throughout the day.
rain,2018-10-10,24.9,16.6,rain,Partly cloudy throughout the day with afternoon rain.
rain,2018-10-11,24.8,32.3,rain,Cloudy skies throughout the day with rain.
rain,2018-10-12,16.6,41.7,rain,Partly cloudy throughout the day with rain clearing later.
rain,2018-10-13,13,30.5,rain,Partly cloudy throughout the day with morning rain.
rain,2018-10-14,12.5,13.9,rain,Partly cloudy throughout the day with rain in the morning and afternoon.
rain,2018-10-15,18.2,25.3,rain,Cloudy skies throughout the day with rain in the morning and afternoon.
partly-cloudy-day,2018-10-16,15.4,35,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-10-17,15.8,27.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-10-18,11.8,25.1,--,Clearing in the afternoon.
partly-cloudy-day,2018-10-19,12.4,23.9,--,Partly cloudy throughout the day.
rain,2018-10-20,15.6,23.7,rain,Partly cloudy throughout the day with rain.
rain,2018-10-21,10.3,37,rain,Partly cloudy throughout the day with early morning rain.
partly-cloudy-day,2018-10-22,8.9,25.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-10-23,13.9,23.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-10-24,11,32.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-10-25,8.4,18,--,Partly cloudy throughout the day.
rain,2018-10-26,8.7,27.9,rain,Cloudy skies throughout the day with rain.
rain,2018-10-27,10.9,30.7,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2018-10-28,12.4,22.1,rain,Partly cloudy throughout the day with rain.
rain,2018-10-29,12.5,28,rain,Partly cloudy throughout the day with afternoon rain.
partly-cloudy-day,2018-10-30,11.7,18.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-10-31,13.4,19.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-11-01,18,37.4,--,Partly cloudy throughout the day.
rain,2018-11-02,19.8,24,rain,Cloudy skies throughout the day with late afternoon rain.
rain,2018-11-03,12.9,31.3,rain,Partly cloudy throughout the day with rain clearing later.
partly-cloudy-day,2018-11-04,10.4,14.3,--,Partly cloudy throughout the day.
rain,2018-11-05,12.4,18.3,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2018-11-06,13.8,21.6,rain,Partly cloudy throughout the day with rain.
partly-cloudy-day,2018-11-07,13.7,15.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-11-08,12.6,26,--,Partly cloudy throughout the day.
